"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Automated Assistance for Mental Health using Deep Learning Approach","M. A. Tayal; Y. Gholase; P. Shahu; A. Tayal; N. Debnath; S. S. Badhiye; P. Borkar","Department of Data Science, GHRCEM, Nagpur, India; Persistent Systems Ltd, Nagpur, India; Accenture Pvt Ltd, Nagpur, India; Codemate IT Services Pvt LTD, Nagpur, India; Department of Data Science, GHRCEM, Nagpur, India; Symbiosis Institute of Technology, Nagpur Campus, Symbiosis International (Deemed University), Pune, India; Symbiosis Institute of Technology, Nagpur Campus, Symbiosis International (Deemed University), Pune, India",2024 International Conference on Artificial Intelligence and Quantum Computation-Based Sensor Application (ICAIQSA),"21 Feb 2025","2024","","","1","6","The prevalence of mental health issues is a growing concern, with approximately 1 in 4 people struggled with mental health issues at some time in their lives. While mental health support is available, many individuals face barriers to accessing traditional forms of treatment, such as long wait times, stigma, and financial constraints. As a result, there is a need for innovative solutions that can provide effective and accessible support to individuals experiencing mental health challenges. The research work proposes the development of an automated assistance system for mental health that leverages natural language processing and machine learning techniques to provide personalized and responsive support to individuals in need. The system will be designed to be interactive and conversational, using chatbot technology to engage with users in a natural and empathetic manner. To ensure the effectiveness and reliability of the system, this research work will adopt a user-cantered approach that involves extensive user testing and feedback. This approach will allow the system to be tailored to the needs and preferences of different users, including factors such as cultural background, language proficiency, and individual coping styles. The ultimate goal of this work is to create an automated assistance system that can serve as a reliable and accessible tool for individuals experiencing mental health issues. The system has the potential to help users better manage their mental health, access support when they need it, and improve their overall quality of life. Additionally, the system could serve as a complement to traditional mental health treatment, providing ongoing support and guidance to individuals even after they have completed formal treatment programs.","","979-8-3315-1795-3","10.1109/ICAIQSA64000.2024.10882224","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10882224","intent;patterns;response;NLP;Chatbot","Deep learning;Quantum computing;Mental health;Oral communication;Chatbots;Reliability;Cultural differences;Faces;Testing","","","","6","IEEE","21 Feb 2025","20-21 Dec. 2024","20-21 Dec. 2024","IEEE","IEEE Conferences"
"Agentic AI Framework for Adaptive Clinical Workflow Orchestration","Q. M. Le; D. -T. Le; H. D. Nguyen","Faculty of Information Technology, Vietnam National University, Hanoi, Hanoi, Vietnam; Faculty of Information Technology, Vietnam National University, Hanoi, Hanoi, Vietnam; School of Computer Science & IT, University College Cork, Cork, Ireland",2025 RIVF International Conference on Computing and Communication Technologies (RIVF),"3 Feb 2026","2025","","","1162","1167","Healthcare systems in resource-constrained settings face systemic challenges, including workflow inefficiencies and clinician overload, which directly threaten patient safety and quality of care. Although Artificial Intelligence (AI) has shown substantial promise, current approaches predominantly emphasize isolated analytic models, leaving unaddressed the central challenge of optimizing the clinical workflow itself. This gap between singlepoint predictions and end-to-end workflow optimization remains a critical barrier to impact. To address this, this paper introduces the Vietnam Health-Agent System (VHAS), a system-theoretic framework to build agentic healthcare ecosystems. Its core component, the Clinical Workflow Orchestrator, functions as a meta-agent that coordinates specialized tool-using agents and employs Reinforcement Learning to dynamically compose, execute and adapt workflows in real time. We argue that medical AI must shift from building standalone tools to orchestrating coordinated, adaptive workflows. VHAS provides a scalable architectural blueprint for this transition, enabling efficient, reliable, interpretable, and equitable healthcare systems.","2473-0130","979-8-3315-7790-2","10.1109/RIVF68649.2025.11365087","VNU University of Engineering and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11365087","Agentic AI;Multi-Agent Systems;Reinforcement Learning;Workflow Orchestration;Clinical Decision Support;Low-Resource Healthcare;HumanCentered AI","Agentic AI;Ecosystems;Medical services;Reinforcement learning;Real-time systems;Safety;Reliability;Optimization;Faces;Multi-agent systems","","1","","31","IEEE","3 Feb 2026","18-20 Dec. 2025","18-20 Dec. 2025","IEEE","IEEE Conferences"
"Analyse Indications of Vital Parameters in Patients Using Business Intelligence and Random Forest","R. Khadilkar; G. Bobade; N. Chavhan; R. Agrawal; C. Dhule","Department of Data Science, IOT and Cyber Security (DIC), GH Raisoni College of Engineering, Nagpur, India; Department of Data Science, IOT and Cyber Security (DIC), GH Raisoni College of Engineering, Nagpur, India; Department of Data Science, IOT and Cyber Security (DIC), GH Raisoni College of Engineering, Nagpur, India; Department of Data Science, IOT and Cyber Security (DIC), GH Raisoni College of Engineering, Nagpur, India; Department of Data Science, IOT and Cyber Security (DIC), GH Raisoni College of Engineering, Nagpur, India","2023 International Conference on Communication, Security and Artificial Intelligence (ICCSAI)","16 Feb 2024","2023","","","181","186","In 21st century human beings deals with a variety of diseases as a result of their lifestyle choices and the surroundings environment. Taking precautionary measures for health is essential for human well-being, and accurate prediction of diseases is a challenging task not only for doctors as field medical science continues to experience significant growth each year. Advancements of technology within the medical sector can greatly benefit human lives. Data analysis plays a vital role in handling large amounts of healthcare data efficiently. These proposed model is an AI-based disease diagnosis system that determines diseases based on symptoms. The system is developed using business intelligence, allowing for efficient graphical visualization. Supervised learning is applied to the data to classify predicted values and proposed researched model in this paper achieve accuracy in disease prediction, leading to improved diagnostic capabilities for helping medical practitioners.","","979-8-3503-6996-0","10.1109/ICCSAI59793.2023.10421310","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10421310","Disease Prediction;Random Forest;Machine learning;Business Intelligence(BI)","Medical services;Predictive models;Data models;Real-time systems;Business intelligence;Medical diagnostic imaging;Diseases","","4","","27","IEEE","16 Feb 2024","23-25 Nov. 2023","23-25 Nov. 2023","IEEE","IEEE Conferences"
"Intelligent Cooperative Health Emergency Response System in Autonomous Vehicles","H. Elayan; M. Aloqaily; H. B. Salameh; M. Guizani","xAnalytics Inc., Ottawa, Canada; Qatar University, Doha, Qatar; Al Ain University, UAE; Qatar University, Doha, Qatar",2021 IEEE 46th Conference on Local Computer Networks (LCN),"7 Sep 2021","2021","","","293","298","Recent technological advances have reshaped many aspects of our lives, especially modern transportation systems. For instance, AI and B5G Networks have raised the level of automation as autonomous vehicles (AV) become decision-independent and self-aware. However, in-vehicle health monitoring is still an open issue. Therefore, a cooperative healthcare emergency response framework has been proposed that employs in-vehicle intelligent health monitoring and local networks for AV to minimize the time to receive emergency treatment for passengers with abnormal health conditions. The extensive simulation results show that the framework minimizes the First Emergency Treatment Time by at least 75%, and eliminates hospital waiting time, the Total Time for Emergency Treatment is minimized by at least 93%. Finally, it reduces Travel Time by nearly 50%. All results compared to the autopilot approach.","0742-1303","978-1-6654-1886-7","10.1109/LCN52139.2021.9524950","Qatar University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9524950","AI;IoT;Healthcare;Cooperative Systems;Autonomous Vehicles","Hospitals;Simulation;Transportation;Machine learning;Emergency services;Autopilot;Delays","","11","","22","IEEE","7 Sep 2021","4-7 Oct. 2021","4-7 Oct. 2021","IEEE","IEEE Conferences"
"Fusion of Strategic Queueing Theory and AI for Smart City Telecommunication System","T. T. Zin; A. S. T. Moe; C. N. Phyo; P. Tin","Graduate School of Engineering, University of Miyazaki, Miyazaki, Japan; Graduate School of Engineering, University of Miyazaki, Miyazaki, Japan; Graduate School of Engineering, University of Miyazaki, Miyazaki, Japan; Graduate School of Engineering, University of Miyazaki, Miyazaki, Japan",2024 IEEE 21st International Conference on Mobile Ad-Hoc and Smart Systems (MASS),"25 Oct 2024","2024","","","653","657","This paper explores the innovative intersection of queueing theory and artificial intelligence (AI), addressing emerging challenges for Smart City Telecommunication System. We propose a novel approach that integrates queueing theory with AI methodologies, particularly artificial neural networks (ANNs), to optimize strategic parameters in Markov Decision Process (MDP) problems in communication systems. These parameters include server numbers, customer waiting times, queue lengths, and other critical metrics. Our fusion approach demonstrates high efficacy and indicates significant advancements in applying machine learning to complex queueing theory issues. The study underscores the practical applications of this integration across various domains. We provide real-world examples illustrating the strategic use of AI-enhanced queueing models in improving user experiences and optimizing system efficiencies. Our discussions cover the benefits of intelligent resource allocation, dynamic load balancing, and adaptive service time optimization. We extend our exploration through specific case studies demonstrating the efficacy of this integration in industries such as telecommunications, healthcare, and transportation. For instance, in telecommunications, AI-driven queue management systems can dynamically allocate bandwidth to ensure optimal service quality. In healthcare, queueing models enhanced by AI can improve patient flow and reduce wait times, potentially leading to better healthcare outcomes. In this paper, we investigate the application of deep learning models to queueing theory, specifically focusing on [mention specific problem or application, e.g., “forecasting queue lengths in real-time systems”]. We implement and evaluate several deep learning architectures to determine their effectiveness in modeling and predicting queue dynamics. The paper concludes by emphasizing the necessity for continued interdisciplinary research, encouraging collaboration between AI experts and queueing theorists. This synergy is essential for unlocking new potential and addressing the increasingly complex challenges posed by modern systems. By fostering such collaboration, we anticipate significant breakthroughs that will transform both fields, leading to more efficient, adaptive, and intelligent systems capable of meeting future demands across various sectors.","2155-6814","979-8-3503-6399-9","10.1109/MASS62177.2024.00104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10723713","smart city queueing management;artificial intelligence;artificial neural networks;service time optimization;complex queueing problems in smart telecommunication;Markov decision process;dynamic optimization","Industries;Adaptation models;Smart cities;Collaboration;Predictive models;Telecommunications;Artificial intelligence;Queueing analysis;Optimization;Load modeling","","3","","17","IEEE","25 Oct 2024","23-25 Sept. 2024","23-25 Sept. 2024","IEEE","IEEE Conferences"
"A Machine Learning Approach to Hypertension Prediction Using Decision Tree Classifier","P. Bhaskar; G. S. Bhargav; N. Pacharla; V. V. N. Kumar","Department of Computer Science and Engineering, Santhiram Engineering College, Nandyal, Andhra Pradesh; Department of Computer Science and Engineering, Santhiram Engineering College, Nandyal, Andhra Pradesh; Department of Computer Science and Engineering, Rajeev Gandhi Memorial College of Engineering and Technology, Nandyal, Andhra Pradesh; Department of CSE & MCA, Rajeev Gandhi Memorial College of Engineering and Technology, Nandyal, Andhra Pradesh",2026 Second International Conference on Multi-Agent Systems for Collaborative Intelligence (ICMSCI),"13 Apr 2026","2026","","","609","614","The “silent killer” hypertension is one of the principal factors causing cardiovascular diseases, renal troubles, and other chronic medical issues. Its hazardous asymptomatic progression generally goes unnoticed by patients until it causes potentially fatal complications including myocardial infarction, stroke, and multi-organ failure. The rising prevalence of hypertension worldwide, together with the prevalence of stress, inactivity, and poor eating habits in contemporary life, highlights the critical need for user-friendly and sophisticated monitoring systems. Although conventional blood pressure monitors may accurately record systolic & diastolic readings, they are not useful for non-specialist users since they do not provide clinical risk categorization or meaningful interpretation. In order to fill this need, the suggested study implements a Decision Tree Classifier-based machine learning prediction framework for the automated classification of high blood pressure into predefined medical risk categories. Hypotension, Normal, Elevated, Hypertension Stages 1, Hypertension Stage 2 and Hypertensive Crisis are the terms used to describe these conditions according to the well recognized clinical recommendations. To guarantee strong performance, the system was programmed and confirmed using the Human Life Signs dataset that was collected from Kaggle. This dataset includes systolic and diastolic readings that are classified according to medical standards. Under same experimental circumstances, baseline approaches like logistic regression only managed 69% accuracy; in contrast, the model's experimental assessment showed an estimation accuracy of 99%. The performance evaluation was based on metrics such as accuracy, recall, $\mathbf{F 1}$-score, and confusion matrix. The confusion matrix evaluation showed that the Decision Tree was the most effective in eliminating misclassification andgiving a consistent prediction of risk levels among the groups. Interpretable models gain trust from doctors as they understand the machine's reasoning, and this is the most important advantage of decision tree algorithms, which is interpretability. The system not only provides accurate classifications but also alerts the patients or healthcare professionals over email right away if any unusual values are detected. This capability makes the system more than just a monitoring tool; it is a proactive assistance that can, in some cases, reduce the waiting time for medical help. In conclusion, the proposed approach is a straightforward, low-cost, and scalable method for incorporating machine learning into health. The individuals are given control of their health and the healthcare professionals are provided with a powerful deciding aid by the framework, which transforms raw blood pressure readings into usable data and issues immediate alerts. This approach may significantly improve preventive medicine especially in areas with limited resources and non-availability of qualified medical personnel.","","979-8-3315-6898-6","10.1109/ICMSCI67830.2026.11469417","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11469417","Health monitoring system;automated notifications;hypertension;cardiac risk estimation;blood pressure categorization;medical data examination;decision tree classifier;human vital signs dataset;machine learning","MIMICs;Millimeter wave integrated circuits;Monolithic integrated circuits;Electronic mail;Internet of Things;Protocols;Communication systems;Internet;HTTP;Receivers","","","","9","IEEE","13 Apr 2026","2-4 March 2026","2-4 March 2026","IEEE","IEEE Conferences"
"Stakeholder Perspectives on India's National e-Sanjeevani Telehealth Platform","A. Arif; V. Singh","Strategy and General Management, Jindal Global Business School, OP Jindal Global University, Sonipat, Haryana, India; Economics & Public Policy, Management Development Institute, Gurgaon, Haryana, India",2025 IEEE DELCON - International Conference on Recent Smart Technologies in Engineering for Sustainable Development,"27 Feb 2026","2025","","","1","6","This study examines the implementation of India's national telemedicine service, e-Sanjeevani, through the perspectives of multiple stakeholders, focusing on enablers, barriers, and opportunities for technological advancement. Using a qualitative design, 18 key informant interviews were conducted with patients, Community Health Officers (CHOs), program coordinators, healthcare providers, and members of the development team. Thematic analysis revealed that national policy support, flexibility at the state level, free outpatient consultations, and training incentives for CHOs facilitated adoption. However, persistent systemic barriers include doctor shortages, uneven state-level utilization, long waiting times, poor digital connectivity, increased workload, lack of training, privacy concerns, and limited diagnostic integration. Developers noted challenges linked to customization demands and small technical teams, while program coordinators raised concerns about quota-driven distortions in service delivery. Despite these issues, e-Sanjeevani has notably expanded healthcare access in underserved areas, illustrating the potential of large-scale digital health platforms to reduce inequities. Sustaining this progress will require strengthening infrastructure, workforce capacity, and governance to address bottlenecks and ensure equitable delivery. Future development should also prioritize robust cybersecurity safeguards aligned with India's data protection framework and stronger integration with laboratories and diagnostic systems to support continuity of care. The platform's national reach, structured workflows, and large patient database create a foundation for AI-driven features such as automated triage, intelligent scheduling, decision support, multilingual tools, and predictive resource management—enhancements that could improve the efficiency, responsiveness, and resilience of India's telehealth ecosystem.","","979-8-3315-5864-2","10.1109/DELCON68055.2025.11400103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11400103","Telemedicine;e-Sanjeevani;Digital Health;Artificial Intelligence;Remote Health","Training;Privacy;Technological innovation;Navigation;Telemedicine;Electronic healthcare;Stakeholders;Computer security;Older adults;Standards","","","","23","IEEE","27 Feb 2026","31 Oct.-2 Nov. 2025","31 Oct.-2 Nov. 2025","IEEE","IEEE Conferences"
"ArtFL: Exploiting Data Resolution in Federated Learning for Dynamic Runtime Inference via Multi-Scale Training","S. Jiang; X. Shuai; G. Xing","The Chinese University of Hong Kong, Hong Kong SAR, China; The Chinese University of Hong Kong, Hong Kong SAR, China; The Chinese University of Hong Kong, Hong Kong SAR, China",2024 23rd ACM/IEEE International Conference on Information Processing in Sensor Networks (IPSN),"3 Jul 2024","2024","","","27","38","Federated Learning (FL) has emerged as a prominent paradigm for distributed machine learning, crucial for mission-critical applications such as autonomous driving and smart health. However, existing FL systems have not adequately addressed the dynamic real-time requirements of these applications due to stringent inference deadlines and resource limitations on edge devices. In this paper, we propose ArtFL, a novel federated learning system designed to support dynamic runtime inference through multi-scale training. The key idea of ArtFL is to utilize the data resolution, i.e., frame resolution of videos, as a knob to accommodate dynamic inference latency requirements. Specifically, we initially propose data-utility-based multi-scale training, allowing the trained model to process data of varying resolutions during inference. Subsequently, we introduce an innovative strategy for frame resolution selection in inference, based on the similarity of adjacent frames. Finally, leveraging latency-based dynamic data dropping, we propose a systematic scheme to reduce the overall training time by shortening the waiting time in FL. For evaluation, we build two real-world FL testbeds for smart vehicles and healthcare applications, utilizing a heterogeneous edge platform. Extensive experiments across our testbeds and three public datasets show that ArtFL outperforms state-of-the-art baselines in overall accuracy and system performance up to 36.36% and 47.81%, respectively. A demo video of ArtFL on our smart vehicle testbed is available at https://youtu.be/eeK6yRVEG3U, and our code is available at https://github.com/siyang-jiang/ArtFL.git.CCS CONCEPTS• Computing methodologies → Machine learning.","","979-8-3503-6201-5","10.1109/IPSN61024.2024.00007","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10577356","Federated Learning System;Multi-Scale Training;Real-time System","Training;Runtime;Systematics;Federated learning;System performance;Smart healthcare;Real-time systems","","15","","61","IEEE","3 Jul 2024","13-16 May 2024","13-16 May 2024","IEEE","IEEE Conferences"
"Patient Identification using Facial Recognition","V. K. Verma; V. Kansal; P. Bhatnagar","Department of Electronics and Communication Engineering, Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi, India; Department of Electronics and Communication Engineering, Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi, India; Department of Electronics and Communication Engineering, Dr. Akhilesh Das Gupta Institute of Technology and Management, Delhi, India",2020 International Conference on Futuristic Technologies in Control Systems & Renewable Energy (ICFCR),"16 Nov 2020","2020","","","1","7","The medical history of patients and previous meetings to a doctor have been traditionally recorded and maintained using paper and pen. This research is done with an aim to throw some light on the field of Computer Vision that can potentially revolutionise the way that prescriptions are given to patients since ages. In this paper, an implementable idea of using the advanced Computer Vision Technology to eliminate printed prescriptions and physical components like RFID, Record Files has been proposed. The results of having a Universal Medical Face Identification for every patient have been properly showcased that take several factors into consideration like reducing the inefficiency, amount of time taken at reception and efforts of medical staff in recognising a patient and drawing out subtleties of the patient's medical history, previous visits to the specialist, and prescriptions. A database linked to the patient's face image can be deployed on a secure platform that can be updated from time to time and will be universally considered as the basis of the identity of patients available to the doctors at all certified medical centres for studying and taking immediate action. Facial recognition can be utilized in hospitals for staff and patient tracking efficiently and practically faster than the current record based approach. Finally, the comparison of wait time and technical challenges of current methods, implementation and privacy are highlighted.","","978-1-7281-8893-5","10.1109/ICFCR50903.2020.9250002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9250002","Computer Vision;Machine Learning;Medical Identity;Deep Learning;Facial Recognition;DeepFace","Computer vision;Renewable energy sources;Hospitals;Face recognition;Computational modeling;History;Biomedical imaging","","4","","27","IEEE","16 Nov 2020","23-24 Sept. 2020","23-24 Sept. 2020","IEEE","IEEE Conferences"
"C-HealthIER: A Cooperative Health Intelligent Emergency Response System for C-ITS","M. Aloqaily; H. Elayan; M. Guizani","Machine Learning Department, Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI), Masdar City, Abu Dhabi, United Arab Emirates; XAnalytics Inc., Ottawa, ON, Canada; Machine Learning Department, Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI), Masdar City, Abu Dhabi, United Arab Emirates",IEEE Transactions on Intelligent Transportation Systems,"8 Feb 2023","2023","24","2","2111","2121","The advancement of wireless connectivity in smart cities will enhance connections between their various key elements. Federated intelligent health monitoring systems inside autonomous vehicles will achieve smart cities’ goal of improving the quality of life. This paper proposes a novel cooperative health emergency response system within Cooperative Intelligent Transportation Environment, namely, C-HealthIER. C-HealthIER is a cooperative health intelligent emergency response system that aims to reduce the time of receiving the first emergency treatment for passengers with abnormal health conditions. C-HealthIER continuously monitors passengers’ health and conducts cooperative behavior in response to health emergencies by vehicle-to-vehicle and vehicle-to-infrastructure information sharing to find the nearest treatment provider. A conducted simulation that integrates three different tools (Veins, SUMO, and OMNET++) to simulate the proposed system showed that C-HealthIER reduces the total time to receive the emergency treatment by at least 92.5% and the time to receive the first emergency treatment by at least 73.2% compared to the time taken by AutoPilot mode in self-driving cars. C-HealthIER also reduces the travel distance to the first emergency treatment place by 40.9% and thus reduces the travel time by 43.8% compared to receiving the treatment at the same hospital in the AutoPilot mode.","1558-0016","","10.1109/TITS.2022.3141018","Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI), United Arab Emirates; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9709182","Cooperative intelligent transportation system;5G;health monitoring system;IoT;federated learning;autonomous vehicles","Monitoring;Data models;Emergency services;Collaborative work;Vehicle-to-infrastructure;Vehicular ad hoc networks;Smart cities","","14","","32","IEEE","9 Feb 2022","Feb. 2023","","IEEE","IEEE Journals"
"A Response-Aware Traffic Offloading Scheme Using Regression Machine Learning for User-Centric Large-Scale Internet of Things","G. Manogaran; G. Srivastava; B. A. Muthu; S. Baskar; P. Mohamed Shakeel; C. -H. Hsu; A. K. Bashir; P. M. Kumar","Computer and Information Science, Gannon University, Erie, PA, USA; Department of Math and CSC, Brandon University, Brandon, Canada; Department of Computer Science and Engineering, VRS College of Engineering and Technology, Arasur, India; Department of Electronics and Communication Engineering, Karpagam Academy of Higher Education, Coimbatore, India; Faculty of Information and Communication Technology, University of Technical Malaysia, Malacca, Malaysia; Department of Computer Science and Information Engineering, Asia University, Taichung, Taiwan; Department of Computing and Mathematics, Manchester Metropolitan University, Manchester, U.K.; Department of Computer Science and Engineering, Kyung Hee University, Seoul, South Korea",IEEE Internet of Things Journal,"18 Feb 2021","2021","8","5","3360","3368","Resource allocation and management in an Internet-of-Things (IoT) paradigm requires precise request and response processing irrespective of its scalability support. Unpredictable traffic patterns and user density demands reliable offloading for handling user request traffic and service response. Considering the need for large-scale IoT in an account of its interoperability and heterogeneous support, this manuscript introduces a response-aware traffic offloading scheme (RTOS) for delay-sensitive user requests. This offloading scheme is supported by a multivariate spline regression machine learning model for classifying traffic for reducing the failure rate. The splines are adaptive based on the classified traffic for performing independent and shared offloading. The computation process for determining the offloading model is inherited from the cyber-physical system (CPS) coupled with the IoT-Cloud architecture. The information from the knowledge base and event logs are exploited for decision making in employing the offloading method for the classified traffic. The simulation analysis of this scheme shows that it is effective in improving the request processing ratio and reducing processing, response time, and delay. The simulation is performed for the varying user density and traffic flows.","2327-4662","","10.1109/JIOT.2020.3022322","Natural Science and Engineering Research Council of Canada (NSERC)(grant numbers:RGPIN-2020-05363); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9187266","Basis function;cyber–physical systems (CPSs);Internet of Things (IoT);multivariate spline regression;traffic offloading","Task analysis;Resource management;Computer architecture;Job shop scheduling;Cloud computing;Internet of Things;Reliability","","39","","28","IEEE","7 Sep 2020","1 March1, 2021","","IEEE","IEEE Journals"
"A Deep Learning-Powered Medicine Vending Machine for Automated Prescription Interpretation and Contactless Payment","S. A; K. R; M. S. S. J; S. R","Department of Electrical and Electronics Engineering, Sri Sai Ram Institution of Technology, Chennai, Tamil Nadu, India; Department of Electrical and Electronics Engineering, Sri Sai Ram Institution of Technology, Chennai, Tamil Nadu, India; Department of Electrical and Electronics Engineering, Sri Sai Ram Institution of Technology, Chennai, Tamil Nadu, India; Department of Electrical and Electronics Engineering, Sri Sai Ram Institution of Technology, Chennai, Tamil Nadu, India","2025 2nd International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)","25 Jun 2025","2025","","","1","6","In recent years, technological advancements have significantly transformed the healthcare sector, offering innovative solutions to improve patient convenience and streamline medical services. This research proposes the development of an automated medicine vending machine designed to revolutionize the prescription and medication dispensing process. The system is structured around three main components: prescription recognition, medicine retrieval, and secure digital payment. Utilizing machine learning and image recognition, the system accurately reads prescriptions and identifies the correct medication along with its dosage, ensuring precision and reducing human error. Once the medication is identified, the machine automatically retrieves it, thereby minimizing the time spent by patients in queues. To enhance convenience and security, the system integrates widely used digital payment platforms such as PAYTM and Google Pay (GPay), eliminating the need for cash transactions. This seamless payment process not only simplifies the user experience but also promotes hygiene and efficiency. Overall, this research aims to deliver a self-service, automated medicine dispensing system that addresses current inefficiencies in pharmacy operations. By combining AI-driven prescription analysis with automated retrieval and cashless payment, the proposed vending machine provides a modern, user-friendly, and secure solution for medication access, ultimately contributing to a more efficient and accessible healthcare ecosystem.","","979-8-3315-9848-8","10.1109/RMKMATE64874.2025.11042538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11042538","Automated Medicine Dispensing;AI-based Prescription Processing;RFID Inventory Management;Digital Payment Integration;Error-Free Medicine Dispensing;Smart Healthcare","Text recognition;Medical services;Streaming media;User experience;Real-time systems;Mobile applications;Security;Biomedical imaging;Self-service;Radiofrequency identification","","1","","20","IEEE","25 Jun 2025","7-8 May 2025","7-8 May 2025","IEEE","IEEE Conferences"
"A Systems Engineering Model for Integrating RAG-Based AI into Army Sick Call Workflows","K. MacMullan; A. Zhang; C. Bradford; E. Kone; P. Segat; A. Bahabry","Department of Systems Engineering, United States Military Academy, West Point, NY, USA; Department of Systems Engineering, United States Military Academy, West Point, NY, USA; Department of Systems Engineering, United States Military Academy, West Point, NY, USA; Department of Systems Engineering, United States Military Academy, West Point, NY, USA; Department of Systems Engineering, United States Military Academy, West Point, NY, USA; Department of Systems Engineering, United States Military Academy, West Point, NY, USA",2026 IEEE International Systems Conference (SysCon),"7 May 2026","2026","","","1","7","Army Sick Call is essential for maintaining soldier readiness; however, current processes within the Military Health System are not optimized for rapid triage, consistent documentation, or real-time decision support. While civilian healthcare increasingly leverages artificial intelligence tools such as symptom checkers, automated triage algorithms, and patientreported outcome diaries, these systems demonstrate variable accuracy and fail to align with the operational tempo, regulatory constraints, and mission-specific demands of military clinics. As a result, there is a capability gap between available digital health technologies and the requirements of Army medical operations. This paper investigates how a Retrieval-Augmented Generation (RAG)-enabled AI system could enhance the speed, accuracy, and consistency of sick call interactions through a structured systems engineering approach. The study follows the Systems Decision Process to define the problem, evaluate feasibility, and identify value-driven objectives aligned with stakeholder needs. The methodology is organized into three phases. First, the team conducts a problem investigation and feasibility analysis to determine whether a RAG-enabled system is an appropriate and viable solution. Second, the paper details the development of a functional prototype designed to integrate clinical guidance with AI-assisted triage support. Finally, the study outlines the testing conditions, evaluation metrics, and validation procedures used to assess system performance. This structured approach demonstrates how systems engineering principles can be applied to modernize Army Sick Call while prioritizing operational effectiveness and soldier readiness.","2472-9647","979-8-3315-9151-9","10.1109/SysCon66367.2026.11503545","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11503545","Retrieval Augmented Generation (RAGs);Triage;Systems Decision Process;Value Model;Stakeholder Analysis;Sick Call;Military Health System (MHS);AlgorithmDirected Troop Medical Care (ADTMC);Clinical Decision Support Systems;Multi-Criteria Decision Analysis (MCDA)","Contacts;Circuits;Feedback;MIMICs;Millimeter wave integrated circuits;Monolithic integrated circuits;Circuits and systems;Protocols;Management information base;Radio access networks","","","","16","USGov","7 May 2026","6-9 April 2026","6-9 April 2026","IEEE","IEEE Conferences"
"Optimizing Patient Triage in Emergency Department Reception: A Hybrid Algorithm Approach","A. E. Khatib; A. Nait Sidi Moh","Université Jean Monnet Saint-Étienne, LASPI, Saint- Étienne, France; Université Jean Monnet Saint-Étienne, LASPI, Saint- Étienne, France","2024 10th International Conference on Control, Decision and Information Technologies (CoDIT)","18 Oct 2024","2024","","","718","723","In this paper, we focus on addressing the challenge of patient triage at the emergency department. Most hospitals suffer from long waiting times at the emergency department reception, primarily due to a high volume of incoming patients. A significant proportion of these individuals do not have urgent cases or are less urgent compared to others. Nevertheless, their presence occupies significant time slots, leading to delays for patients in urgent need of attention. To automate the triaging process and streamline patient consultation order, thus improving patient care, we propose an automatic method based on a hybrid concept that combines a feature extraction algorithm and an artificial intelligence neural network tool. This tool is capable of classifying patients according to their case severity and organizing their admissions. Simulation results demonstrate that our model can automatically classify patients with high accuracy and facilitates patient admissions by speeding up their care and considering the waiting time acceptable threshold relevant to their specific cases.","2576-3555","979-8-3503-7397-4","10.1109/CoDIT62066.2024.10708589","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10708589","Resource Optimization and Sharing;Artificial Neural Network;Decision Support;Patients Triaging;Emergency Department","Training;Accuracy;Hospitals;Simulation;Feature extraction;Distance measurement;Classification algorithms;Indexes;Information technology;Optimization","","","","30","IEEE","18 Oct 2024","1-4 July 2024","1-4 July 2024","IEEE","IEEE Conferences"
